GEO,GEO(L)/TIME,2010,2011,2012,2013,2014
BE,Belgium,"20.8","21.0","21.6","20.8","21.2"
BE1,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,"40.2","40.4",:,:,:
BE2,Vlaams Gewest,"14.8","15.0",:,:,:
BE3,Région wallonne,"25.7","25.4",:,:,:
BG,Bulgaria,"49.2","49.1","49.3","48.0","40.1"
BG3,Severna i yugoiztochna Bulgaria,"53.8","54.5","53.7","51.8","44.0"
BG31,Severozapaden,"53.3","53.9","52.6","52.8","46.1"
BG32,Severen tsentralen,"58.7","59.5","53.9","48.4","43.7"
BG33,Severoiztochen,"52.7","52.1","51.0","54.7","45.6"
BG34,Yugoiztochen,"51.1","53.2","56.7","51.1","41.2"
BG4,Yugozapadna i yuzhna tsentralna Bulgaria,"44.2","43.3","44.6","44.1","36.1"
BG41,Yugozapaden,"36.9","37.4","39.1","37.1","28.6"
BG42,Yuzhen tsentralen,"54.3","51.6","52.6","54.2","46.9"
CZ,Czech Republic,"14.4","15.3","15.4","14.6",:
CZ01,Praha,"7.1","9.1","12.5","10.2",:
CZ02,Strední Cechy,"12.4","9.6","12.3","9.9",:
CZ03,Jihozápad,"13.6","14.6","12.4","11.5",:
CZ04,Severozápad,"21.3","24.6","23.7","25.8",:
CZ05,Severovýchod,"11.4","13.8","13.2","13.8",:
CZ06,Jihovýchod,"15.0","14.2","13.7","11.1",:
CZ07,Strední Morava,"16.3","16.4","16.0","14.7",:
CZ08,Moravskoslezsko,"18.9","22.0","20.9","22.9",:
DK,Denmark,"18.3","18.9","19.0","18.9","17.8"
DK01,Hovedstaden,"20.0","17.4","19.2","16.4","18.4"
DK02,Sjælland,"16.0","17.5","19.2","13.8","18.0"
DK03,Syddanmark,"16.9","21.5","19.1","18.8","17.7"
DK04,Midtjylland,"19.7","19.3","19.5","22.8","17.9"
DK05,Nordjylland,"17.2","17.4","16.4","22.4","16.3"
DE,Germany (until 1990 former territory of the FRG),"19.7","19.9","19.6","20.3",:
EE,Estonia,"21.7","23.1","23.4","23.5",:
IE,Ireland,"27.3","29.4","30.0","29.5",:
IE01,"Border, Midland and Western","28.8","33.2","34.7","36.6",:
IE02,Southern and Eastern,"26.7","28.0","28.3","27.0",:
EL,Greece,"27.7","31.0","34.6","35.7","36.0"
EL1,Voreia Ellada (NUTS 2010),"31.5",:,:,"36.0","37.1"
EL2,Kentriki Ellada (NUTS 2010),"33.0",:,:,"39.3","40.5"
EL3,Attiki,"23.1",:,:,"34.0","31.6"
EL4,"Nisia Aigaiou, Kriti","23.9",:,:,"33.7","39.4"
ES,Spain,"26.1","26.7","27.2","27.3","29.2"
ES1,Noroeste (ES),"21.2","21.1","24.0","23.9","24.2"
ES11,Galicia,"22.7","21.0","23.8","24.3","23.8"
ES12,Principado de Asturias,"16.5","20.4","24.5","21.8","23.4"
ES13,Cantabria,"22.5","23.0","24.1","25.3","27.4"
ES2,Noreste (ES),"17.1","18.5","17.5","17.7","17.2"
ES21,País Vasco,"16.3","18.9","17.7","16.8","15.3"
ES22,Comunidad Foral de Navarra,"13.8","13.1","12.0","14.5","14.5"
ES23,La Rioja,"27.3","26.1","22.6","22.2","20.1"
ES24,Aragón,"17.5","18.6","18.4","19.8","20.7"
ES3,Comunidad de Madrid,"19.3","18.6","19.8","20.1","19.2"
ES30,Comunidad de Madrid,"19.3","18.6","19.8","20.1","19.2"
ES4,Centro (ES),"30.1","29.7","28.7","29.6","32.7"
ES41,Castilla y León,"23.8","22.3","20.4","20.8","26.1"
ES42,Castilla-la Mancha,"32.3","35.3","35.1","36.7","36.9"
ES43,Extremadura,"40.3","36.0","35.2","36.1","39.8"
ES5,Este (ES),"23.9","24.3","25.7","25.0","26.7"
ES51,Cataluña,"19.8","21.6","22.6","20.1","21.8"
ES52,Comunidad Valenciana,"29.6","27.9","30.6","31.7","34.7"
ES53,Illes Balears,"26.0","26.7","25.1","27.8","23.8"
ES6,Sur (ES),"35.4","37.4","36.2","37.7","42.6"
ES61,Andalucía,"35.0","38.4","36.9","38.3","42.3"
ES62,Región de Murcia,"37.5","31.9","33.5","34.1","44.9"
